# Generated from libretro-database's Sony - PlayStation DAT.
# Source: https://github.com/libretro/libretro-database
# License: CC-BY-SA-4.0
dk10794	Classic Card Games (Russia)
namemipclubdemo01	MIP Club Demo 01 (Germany)
namemipclubdemo02	MIP Club Demo 02 (Germany)
namemiraclejimnobassingbeat	Miracle Jim no Bassing Beat (Japan)
namemiraclejumpers	Miracle Jumpers (Japan)
namemiraclespacerace	Miracle Space Race (Europe)
namemiracleworldfushiginokuninoiqmeiro	Miracle World - Fushigi no Kuni no IQ Meiro (Japan)
namemirumiruplaystationvol1	MiruMiru PlayStation Vol. 1 (Japan) (Disc 2)
namemirumiruplaystationvol10	MiruMiru PlayStation Vol. 10 (Japan)
namemirumiruplaystationvol2	MiruMiru PlayStation Vol. 2 (Japan) (Disc 1)
namemirumiruplaystationvol23	MiruMiru PlayStation Vol. 23 (Japan)
namemirumiruplaystationvol24	MiruMiru PlayStation Vol. 24 (Japan)
namemirumiruplaystationvol25	MiruMiru PlayStation Vol. 25 (Japan)
namemirumiruplaystationvol26	MiruMiru PlayStation Vol. 26 (Japan)
namemirumiruplaystationvol27	MiruMiru PlayStation Vol. 27 (Japan)
namemirumiruplaystationvol28	MiruMiru PlayStation Vol. 28 (Japan)
namemirumiruplaystationvol29	MiruMiru PlayStation Vol. 29 (Japan)
namemirumiruplaystationvol3	MiruMiru PlayStation Vol. 3 (Japan) (Disc 1)
namemirumiruplaystationvol30	MiruMiru PlayStation Vol. 30 (Japan)
namemirumiruplaystationvol31	MiruMiru PlayStation Vol. 31 (Japan)
namemirumiruplaystationvol33	MiruMiru PlayStation Vol. 33 (Japan)
namemirumiruplaystationvol34	MiruMiru PlayStation Vol. 34 (Japan)
namemirumiruplaystationvol35	MiruMiru PlayStation Vol. 35 (Japan)
namemirumiruplaystationvol36	MiruMiru PlayStation Vol. 36 (Japan)
namemirumiruplaystationvol37	MiruMiru PlayStation Vol. 37 (Japan)
namemirumiruplaystationvol38	MiruMiru PlayStation Vol. 38 (Japan)
namemirumiruplaystationvol39	MiruMiru PlayStation Vol. 39 (Japan)
namemirumiruplaystationvol4	MiruMiru PlayStation Vol. 4 (Japan) (Disc 1)
namemirumiruplaystationvol40	MiruMiru PlayStation Vol. 40 (Japan)
namemirumiruplaystationvol42	MiruMiru PlayStation Vol. 42 (Japan)
namemirumiruplaystationvol43	MiruMiru PlayStation Vol. 43 (Japan)
namemirumiruplaystationvol44	MiruMiru PlayStation Vol. 44 (Japan)
namemirumiruplaystationvol9	MiruMiru PlayStation Vol. 9 (Japan)
namemisadventuresoftronbonnethe	Misadventures of Tron Bonne, The (Europe)
namemisakiaggressive	Misaki Aggressive! (Japan)
namemisanomahoumonogatari	Misa no Mahou Monogatari (Japan) (Disc 1)
namemissilecommand	Missile Command (Europe) (En,It)
namemissionimpossible	Mission - Impossible (Europe) (En,Fr,De,Es,It)
namemissionthe	Mission, The (Europe) (En,Fr,De,Es,It,Nl,Pt)
namemissland	Missland (Japan)
namemissland2	Missland 2 (Japan)
namemissspidersteaparty	Miss Spider's Tea Party (USA)
namemitsumeteknight	Mitsumete Knight (Japan)
namemitsumeteknightrdaiboukenhen	Mitsumete Knight R - Daibouken-hen (Japan)
namemiyakeyujiproducekisekinomayauranai	Miyake Yuji Produce - Kiseki no Maya Uranai (Japan)
namemizukishigerunoyoukaibutouden	Mizuki Shigeru no Youkai Butouden (Japan)
namemizzurnafalls	Mizzurna Falls (Japan)
namemlb2000	MLB 2000 (USA)
namemlb2001	MLB 2001 (USA)
namemlb2002	MLB 2002 (USA)
namemlb2003	MLB 2003 (USA)
namemlb2004	MLB 2004 (USA)
namemlb2005	MLB 2005 (USA)
namemlb98	MLB 98 (USA)
namemlb99	MLB 99 (USA)
namemlbpennantrace	MLB Pennant Race (USA)
namemmsshellshocked	M&M's - Shell Shocked (Europe)
namemobil1rallychampionship	Mobil 1 Rally Championship (Europe) (En,Fr,De,Es,It)
namemobilearmor	Mobile Armor (USA)
namemobilelightforce	Mobile Light Force (Europe) (En,Fr,De,Es,It)
namemobilepolicepatlaborgameedition	Mobile Police Patlabor - Game Edition (Japan)
namemobilesuitgundam	Mobile Suit Gundam (Japan)
namemobilesuitgundamcharscounterattack	Mobile Suit Gundam - Char's Counterattack (Asia)
namemobilesuitgundamperfectoneyearwar	Mobile Suit Gundam - Perfect One Year War (Japan)
namemobilesuitgundamversion20	Mobile Suit Gundam - Version 2.0 (Japan)
namemobilesuitzgundam	Mobile Suit Z-Gundam (Japan) (Disc 1)
namemobiletomodachi	Mobile Tomodachi (Japan)
namemoebiuslink3d	Moebius Link 3D (Japan)
namemoeroproyakyuu95doubleheader	Moero!! Pro Yakyuu '95 - Double Header (Japan)
namemoho	MoHo (Europe) (En,Fr,De,Es,It)
namemomotaroudensetsu	Momotarou Densetsu (Japan)
namemomotaroudentetsu7	Momotarou Dentetsu 7 (Japan)
namemomotaroudentetsuv	Momotarou Dentetsu V (Japan)
namemomotaroumatsuriishikawarokuemonnomaki	Momotarou Matsuri - Ishikawa Rokuemon no Maki (Japan)
namemonacograndprix	Monaco Grand Prix (USA)
namemonacograndprixracingsimulation2	Monaco Grand Prix Racing Simulation 2 (Europe) (En,Fr,Es,It)
namemonamoki1drivemewild	Mona & Moki 1 - Drive Me Wild! (USA)
namemonamoki2drivemewilder	Mona & Moki 2 - Drive Me Wilder! (USA)
namemondedesbleus2le	Monde des Bleus 2, Le (France)
namemondedesbleuslelejeuofficieldelequipedefrance	Monde des Bleus, Le - Le Jeu Officiel de l'Equipe de France (France)
namemoneyidolexchanger	Money Idol Exchanger (Japan)
namemonkeyhero	Monkey Hero (Europe) (En,Fr,De,It)
namemonkeymagic	Monkey Magic (Japan)
namemonopoly	Monopoly (Europe) (En,Fr,De,Es,Nl)
namemonsterbass	Monster Bass (USA)
namemonstercollectionkamennomadoushi	Monster Collection - Kamen no Madoushi (Japan)
namemonstercompleteworld	Monster Complete World (Japan)
namemonsterfarm	Monster Farm (Japan)
namemonsterfarm2	Monster Farm 2 (Japan)
namemonsterfarmbattlecard	Monster Farm Battle Card (Japan)
namemonsterfarmjump	Monster Farm Jump (Japan)
namemonsterpunish	Monster Punish (Japan)
namemonsterrace	Monster Race (Japan)
namemonsterracer	Monster Racer (Europe) (En,Fr,De,Es,It,Pt)
namemonsterrancher	Monster Rancher (Europe)
namemonsterrancher2	Monster Rancher 2 (USA)
namemonsterrancherbattlecardepisodeii	Monster Rancher Battle Card - Episode II (USA)
namemonsterrancherhopabout	Monster Rancher Hop-A-Bout (USA)
namemonsterseed	MonsterSeed (Europe) (En,Fr,De)
namemonstersincmonstersacademy	Monsters, Inc. - Monsters Academy (Japan)
namemonstertrucks	Monster Trucks (Europe)
namemontecarlogamescompendium	Monte Carlo Games Compendium (Europe) (Disc 1)
namemoonlightsyndrome	Moonlight Syndrome (Japan) (Disc 1)
namemoonremixrpgadventure	Moon - Remix RPG Adventure (Japan)
namemoorhen3chickenchase	Moorhen 3 - Chicken Chase (Europe) (En,Fr,De)
namemoorhuhn2diejagdgehtweiter	Moorhuhn 2 - Die Jagd Geht Weiter (Germany)
namemoorhuhnkart	Moorhuhn Kart (Germany)
namemoorhuhnx	Moorhuhn X (Germany) (En,De)
namemorinooukoku	Mori no Oukoku (Japan)
namemoritakachisatosafaritokyo	Moritaka Chisato - Safari Tokyo (Japan) (Disc 1)
namemoritakazurounochess	Morita Kazurou no Chess (Japan)
namemoritakazurounogomokunarabetorenju	Morita Kazurou no Gomoku Narabe to Renju (Japan)
namemoritakazurounohanafuda	Morita Kazurou no Hanafuda (Japan)
namemoritakazurounomahjong	Morita Kazurou no Mahjong (Japan)
namemoritakazurounoreversi	Morita Kazurou no Reversi (Japan)
namemoritakazurounoshougidoujou	Morita Kazurou no Shougi Doujou (Japan)
namemoritashougi	Morita Shougi (Japan)
namemortalkombat3	Mortal Kombat 3 (Europe)
namemortalkombat4	Mortal Kombat 4 (Europe)
namemortalkombatii	Mortal Kombat II (Japan)
namemortalkombatmythologiessubzero	Mortal Kombat Mythologies - Sub-Zero (Europe)
namemortalkombatspecialforces	Mortal Kombat - Special Forces (Europe) (En,Fr,De)
namemortalkombattrilogy	Mortal Kombat Trilogy (Europe)
namemortthechicken	Mort the Chicken (Europe)
namemosesprinceofegypt	Moses - Prince of Egypt (Europe) (En,Fr,De,Nl)
namemotocrossmania	Motocross Mania (Europe) (En,Fr,De,Es,It)
namemotocrossmania2	Motocross Mania 2 (Europe) (En,Fr,De,Es,It)
namemotoracer	Moto Racer (Europe) (En,Fr,De,Es,It,Sv)
namemotoracer2	Moto Racer 2 (Europe) (En,Fr,De,Es,It,Sv)
namemotoracerworldtour	Moto Racer World Tour (Europe) (En,Fr,De,Es,It,Sv)
namemotorhead	Motorhead (Europe)
namemotormash	Motor Mash (Europe) (En,Fr,De)
namemotortoongrandprix	Motor Toon Grand Prix (Japan)
namemotortoongrandprix2	Motor Toon Grand Prix 2 (Europe)
namemotortoongrandprixusaedition	Motor Toon Grand Prix - USA Edition (Japan)
namemotteketamagowithganbarekamonohashi	Motteke Tamago with Ganbare! Kamonohashi (Japan)
namemottonyantowonderful2	Motto! Nyan to Wonderful 2 (Japan)
namemottotrumpshiyouyoimodedegrandprix	Motto Trump Shiyou yo! i-Mode de Grand Prix (Japan)
namemouja	Mouja (Japan)
namemourimotonarichikainosanshi	Mouri Motonari - Chikai no Sanshi (Japan)
namemrdriller	Mr. Driller (Europe) (En,Fr,De,Es,It)
namemrdrillerg	Mr. Driller G (Japan)
namemrprospectorhoriatekun	Mr. Prospector - Horiate-kun (Japan)
namemspacmanmazemadness	Ms. Pac-Man Maze Madness (Europe) (En,Fr,De,Es,It)
namemtbdirtcross	MTB Dirt Cross (Japan)
namemtvcelebritydeathmatch	MTV Celebrity Deathmatch (Europe) (En,Fr,De,Es,It)
namemtvmusicgenerator	MTV Music Generator (USA)
namemtvsportspureride	MTV Sports - Pure Ride (Europe) (En,Fr,De)
namemtvsportsskateboardingfeaturingandymacdonald	MTV Sports - Skateboarding featuring Andy Macdonald (Europe)
namemtvsportssnowboarding	MTV Sports - Snowboarding (Europe)
namemtvsportstjlavinsultimatebmx	MTV Sports - T.J. Lavin's Ultimate BMX (Europe)
namemummythe	Mummy, The (Europe) (En,Fr,De,Es,It)
namemundial2002challenge	Mundial 2002 Challenge (Portugal)
namemuppetmonsteradventure	Muppet Monster Adventure (Europe)
namemuppetracemania	Muppet RaceMania (Europe)
namemurakoshiseikainobakuchounihonrettou	Murakoshi Seikai no Bakuchou Nihon Rettou (Japan)
namemurakoshiseikainobakuchounihonrettou2	Murakoshi Seikai no Bakuchou Nihon Rettou 2 (Japan)
namemurakoshiseikainobakuchouseabassfishing	Murakoshi Seikai no Bakuchou SeaBass Fishing (Japan) (Disc 1)
namemushinoidokoro	Mushi no Idokoro (Japan)
namemushitarou	Mushitarou (Japan)
namemusic2000	Music 2000 (Europe) (En,Fr,De,Es,It)
namemusicinspiredbywild9	Music Inspired by Wild 9 (Europe)
namemusicmusiccreationfortheplaystation	Music - Music Creation for the PlayStation (Europe) (En,Fr,De,Es,It)
namemutekioutrizenon	Muteki-ou Tri-Zenon (Japan)
namemyaonosagase	Myaon o Sagase (Japan)
namemydisneykitchen	My Disney Kitchen (USA)
namemydreamonairgamatenakute	My Dream - On Air ga Matenakute (Japan) (Disc 1)
namemygarden	My Garden (Japan)
namemyhomedream	My Home Dream (Japan)
namemyhomedream2niwatsukiikkodatedeikou	My Home Dream 2 - Niwatsuki Ikkodate de, Ikou! (Japan)
namemyst	Myst (Europe) (En,Fr,De,Es,It)
namemysticarkmaboroshigekijou	Mystic Ark - Maboroshi Gekijou (Japan)
namemysticdragoonsthe	Mystic Dragoons, The (Japan)
namemysticmindyureruomoi	Mystic Mind - Yureru Omoi (Japan) (Disc 1)
namen2o	N2O (Europe) (En,Fr,De,Es,It,Pt)
namen2onitrousoxide	N2O - Nitrous Oxide (USA)
namenaganowinterolympics98	Nagano Winter Olympics '98 (Europe)
namenagelibrerasennosoukoku	Nage Libre - Rasen no Soukoku (Japan)
namenainainomeitantei	Nainai no Meitantei (Japan)
namenajavunodaiboukenmyfavoritenamjatown	Najavu no Daibouken - My Favorite Namjatown (Japan)
namenakajimamiyukinamiromu	Nakajima Miyuki - Namiromu (Japan)
namenamcoanthology1	Namco Anthology 1 (Japan)
namenamcoanthology2	Namco Anthology 2 (Japan)
namenamcodemo	Namco Demo (Europe)
namenamcodemocd	Namco Demo CD (USA)
namenamcomuseumencore	Namco Museum Encore (Japan)
namenamcomuseumvol1	Namco Museum Vol. 1 (Europe)
namenamcomuseumvol2	Namco Museum Vol. 2 (Europe)
namenamcomuseumvol3	Namco Museum Vol. 3 (Europe)
namenamcomuseumvol4	Namco Museum Vol. 4 (Europe)
namenamcomuseumvol5	Namco Museum Vol. 5 (Europe)
namenamcosoccerprimegoal	Namco Soccer Prime Goal (Europe)
namenamcotennissmashcourt	Namco Tennis Smash Court (Europe)
namenanatsunohikan	Nanatsu no Hikan (Japan) (Disc 1)
namenaniwakinyuudouaokiyujinosekenmunazanyou	Naniwa Kinyuudou - Aoki Yuji no Seken Munazanyou (Japan)
namenaniwanoakindofuttenanbonosaikorojinsei	Naniwa no Akindo - Futte Nanbo no Saikoro Jinsei (Japan)
namenaniwawanganbattletarzanyamadaautoselectsawakyoudai	Naniwa Wangan Battle - Tarzan Yamada & AutoSelect Sawa Kyoudai (Japan)
namenanotekwarrior	NanoTek Warrior (Europe)
namenarutoshinobinosatonojintorigassen	Naruto - Shinobi no Sato no Jintori Gassen (Japan)
namenascar2000	NASCAR 2000 (Europe)
namenascar2001	NASCAR 2001 (USA)
namenascar98	NASCAR 98 (Europe)
namenascar98collectorsedition	NASCAR 98 Collector's Edition (USA)
namenascar99	NASCAR 99 (Europe)
namenascar99legacy	NASCAR 99 Legacy (USA)
namenascarheat	NASCAR Heat (USA)
namenascarracing	NASCAR Racing (USA)
namenascarracingseason96	NASCAR Racing - Season 96 (Japan)
namenascarrumble	NASCAR Rumble (USA, Canada)
namenascarthunder2002	NASCAR Thunder 2002 (USA)
namenascarthunder2003	NASCAR Thunder 2003 (USA)
namenascarthunder2004	NASCAR Thunder 2004 (USA)
namenatsuirokenjutsukomachi	Natsuiro Kenjutsu Komachi (Japan)
namenavit	Navit (Japan)
namenazoou	Nazoou (Japan)
namenbabasketball2000	NBA Basketball 2000 (Europe) (En,Fr,De,Es,It)
namenbafastbreak98	NBA Fastbreak '98 (Europe)
namenbahangtime	NBA Hangtime (USA)
namenbahoopz	NBA Hoopz (Europe) (En,Fr,De)
namenbainthezone	NBA in the Zone (Europe)
namenbainthezone2	NBA in the Zone 2 (Europe)
namenbainthezone2000	NBA in the Zone 2000 (Europe)
namenbainthezone98	NBA in the Zone '98 (USA)
namenbainthezone99	NBA in the Zone '99 (USA)
namenbajamextreme	NBA Jam Extreme (Europe)
namenbajamtournamentedition	NBA Jam - Tournament Edition (Europe)
namenbalive2000	NBA Live 2000 (Europe)
namenbalive2001	NBA Live 2001 (Europe)
namenbalive2002	NBA Live 2002 (Europe)
namenbalive2003	NBA Live 2003 (Europe)
namenbalive96	NBA Live 96 (Europe)
namenbalive97	NBA Live 97 (Europe) (En,Fr,De)
namenbalive98	NBA Live 98 (Europe) (En,Es,It)
namenbalive99	NBA Live 99 (Europe)
namenbapowerdunkers	NBA Power Dunkers (Japan)
namenbapowerdunkers2	NBA Power Dunkers 2 (Japan)
namenbapowerdunkers3	NBA Power Dunkers 3 (Japan)
namenbapowerdunkers4	NBA Power Dunkers 4 (Japan)
namenbapowerdunkers5	NBA Power Dunkers 5 (Japan)
namenbapro98	NBA Pro 98 (Europe)
namenbapro99	NBA Pro 99 (Europe)
namenbashootout	NBA Shoot Out (USA)
namenbashootout2000	NBA ShootOut 2000 (USA)
namenbashootout2001	NBA ShootOut 2001 (USA)
namenbashootout2002	NBA ShootOut 2002 (USA)
namenbashootout2003	NBA ShootOut 2003 (USA)
namenbashootout2004	NBA ShootOut 2004 (USA)
namenbashootout97	NBA Shoot Out '97 (USA)
namenbashootout98	NBA ShootOut 98 (USA)
namenbashowtimenbaonnbc	NBA Showtime - NBA on NBC (Europe)
namencaabasketballfinalfour97	NCAA Basketball Final Four 97 (USA)
namencaafinalfour2000	NCAA Final Four 2000 (USA)
namencaafinalfour2001	NCAA Final Four 2001 (USA)
namencaafinalfour99	NCAA Final Four 99 (USA)
namencaafootball2000	NCAA Football 2000 (USA)
namencaafootball2001	NCAA Football 2001 (USA)
namencaafootball98	NCAA Football 98 (USA)
namencaafootball99	NCAA Football 99 (USA)
namencaafootballgamebreaker	NCAA Football GameBreaker (USA)
namencaagamebreaker2000	NCAA GameBreaker 2000 (USA)
namencaagamebreaker2001	NCAA GameBreaker 2001 (USA)
namencaagamebreaker98	NCAA GameBreaker 98 (USA)
namencaagamebreaker99	NCAA GameBreaker 99 (USA)
namencaamarchmadness2000	NCAA March Madness 2000 (USA)
namencaamarchmadness2001	NCAA March Madness 2001 (USA)
namencaamarchmadness99	NCAA March Madness 99 (USA)
namenecronomicondasmysteriumderdaemmerung	Necronomicon - Das Mysterium der Daemmerung (Germany) (Disc 1)
namenecronomiconelalbadelastinieblas	Necronomicon - El Alba de las Tinieblas (Spain) (Disc 1)
namenecronomiconispiratoalleoperedihplovecraft	Necronomicon - Ispirato alle opere di H.P. Lovecraft (Italy) (Disc 1)
namenecronomiconlaubedestenebres	Necronomicon - L'Aube des Tenebres (France) (Disc 1)
namenecronomiconodespertardastrevas	Necronomicon - O Despertar das Trevas (Portugal) (Disc 1)
namenecronomiconthedawningofdarkness	Necronomicon - The Dawning of Darkness (Europe) (Disc 1)
namenectaris	Nectaris (Japan)
namenectarismilitarymadness	Nectaris - Military Madness (USA)
nameneedforspeedhighstakes	Need for Speed - High Stakes (Australia)
nameneedforspeedii	Need for Speed II (Europe) (En,Fr,De,Es,It,Sv)
nameneedforspeediiihotpursuit	Need for Speed III - Hot Pursuit (Europe) (En,Fr,De,Es,It,Sv)
nameneedforspeedporsche2000	Need for Speed - Porsche 2000 (Europe) (En,De,Sv)
nameneedforspeedporscheunleashed	Need for Speed - Porsche Unleashed (USA)
nameneedforspeedroadchallenge	Need for Speed - Road Challenge (Europe) (En,Es,It)
nameneedforspeedvrally	Need for Speed - V-Rally (USA)
nameneedforspeedvrally2	Need for Speed - V-Rally 2 (USA)
namenekketsuoyako	Nekketsu Oyako (Japan)
namenekonakankei	Neko na Ka-N-Ke-I (Japan)
namenekozamurai	Neko Zamurai (Japan) (Disc 1)
namenemurumayu	Nemuru Mayu (Japan)
nameneoatlas	Neo Atlas (Japan)
nameneoatlasii	Neo Atlas II (Japan)
nameneongenesisevangelionoriginalscreensaver	Neon Genesis Evangelion - Original Screen Saver (Japan)
nameneoplanet	Neo Planet (Japan)
nameneorude	Neorude (Japan) (Disc 1) (Game Disc)
nameneorude2	Neorude 2 (Japan)
nameneorudekizamaretamonshou	Neorude - Kizamareta Monshou (Japan)
namenessanohoshi	Nessa no Hoshi (Japan) (Disc 1)
namenestledisneydemo	Nestle Disney Demo (Europe)
namenetyarouzekidoudiscversion10	Net Yarou ze Kidou Disc - Version 1.0 (Japan)
namenetyarozebootdisc	Net Yaroze Boot Disc (USA, Europe)
namenetzmagazinealtezza	Netz Magazine - Altezza (Japan)
namenetzmagazinevitz	Netz Magazine - Vitz (Japan)
nameneues	Neues (Japan)
namenewcomerbeapopstar	Newcomer - Be a Popstar (Germany)
namenewmanhaasracing	Newman Haas Racing (Europe) (En,Fr,De,It)
namenextdemo4	Next Demo 4 (Italy) (En,It)
namenextdemo5	Next Demo 5 (Italy) (En,It)
namenextdemo6	Next Demo 6 (Italy) (En,It)
namenextdemo7	Next Demo 7 (Italy) (En,It)
namenextdemo9	Next Demo 9 (Italy) (En,It)
namenextkingkoinosennenoukoku	Next King - Koi no Sennen Oukoku (Japan)
namenextstation1	Next Station 1 (Italy) (En,It)
namenextstation2	Next Station 2 (Italy) (En,It)
namenextstation3	Next Station 3 (Italy) (En,It)
namenexttetrisdlxthe	Next Tetris DLX, The (Japan)
namenexttetristhe	Next Tetris, The (Europe) (En,Fr,De,Es,It,Nl)
namenextwaveherbst98	Next Wave Herbst '98 (Germany)
namenflblitz	NFL Blitz (USA)
namenflblitz2000	NFL Blitz 2000 (Europe)
namenflblitz2001	NFL Blitz 2001 (USA)
namenflfullcontact	NFL Full Contact (USA)
namenflgameday	NFL GameDay (Europe)
namenflgameday2000	NFL GameDay 2000 (USA)
namenflgameday2001	NFL GameDay 2001 (USA)
namenflgameday2002	NFL GameDay 2002 (USA)
namenflgameday2003	NFL GameDay 2003 (USA, Canada)
namenflgameday2004	NFL GameDay 2004 (USA)
namenflgameday2005	NFL GameDay 2005 (USA)
namenflgameday97	NFL GameDay 97 (USA)
namenflgameday98	NFL GameDay 98 (USA)
namenflgameday99	NFL GameDay 99 (USA)
namenflquarterbackclub97	NFL Quarterback Club 97 (Europe)
namenflxtreme	NFL Xtreme (Europe)
namenflxtreme2	NFL Xtreme 2 (USA)
namengaugeuntenkibungamegatangoton	N Gauge Unten Kibun Game - Gatan Goton (Japan)
namengenracing	N-Gen Racing (Europe) (En,Fr,De,Es,It)
namenhl2000	NHL 2000 (Europe) (En,Sv,Fi)
namenhl2001	NHL 2001 (Europe) (En,Sv,Fi)
namenhl97	NHL 97 (Europe)
namenhl98	NHL 98 (Europe) (En,Sv,Fi)
namenhl99	NHL 99 (Europe) (En,Fr,Sv,Fi)
namenhlbladesofsteel2000	NHL Blades of Steel 2000 (Europe)
namenhlbreakaway98	NHL Breakaway 98 (Europe)
namenhlchampionship2000	NHL Championship 2000 (Europe) (En,Fr,De,Sv)
namenhlfaceoff	NHL Face Off (Europe)
namenhlfaceoff2000	NHL FaceOff 2000 (Europe)
namenhlfaceoff2001	NHL FaceOff 2001 (USA)
namenhlfaceoff97	NHL Face Off '97 (Europe)
namenhlfaceoff98	NHL FaceOff 98 (Europe)
namenhlfaceoff99	NHL FaceOff 99 (Europe)
namenhlopenice2on2challenge	NHL Open Ice - 2 on 2 Challenge (USA)
namenhlpowerplay	NHL Powerplay (Europe)
namenhlpowerplay96	NHL Powerplay '96 (Japan)
namenhlpowerplay98	NHL Powerplay 98 (Europe) (En,Fr,De)
namenhlpowerrink97	NHL PowerRink '97 (Japan)
namenhlrocktherink	NHL Rock the Rink (Europe)
namenibiironokoubou32ninnosenshachou	Nibiiro no Koubou - 32-nin no Senshachou (Japan)
namenicecats	Nice Cats (Europe) (En,Fr,De,Nl)
namenicepriceseriesvol01nihonpromahjongrenmeikouninhonkakupromahjong	Nice Price Series Vol. 01 - Nihon Pro Mahjong Renmei Kounin - Honkaku Pro Mahjong (Japan)
namenicepriceseriesvol02honkakushougishinan	Nice Price Series Vol. 02 - Honkaku Shougi Shinan (Japan)
namenicepriceseriesvol03hanafudacardgame	Nice Price Series Vol. 03 - Hanafuda & Card Game (Japan)
namenicepriceseriesvol04billiardking	Nice Price Series Vol. 04 - Billiard King (Japan)
namenicepriceseriesvol05chessreversi	Nice Price Series Vol. 05 - Chess & Reversi (Japan)
namenicepriceseriesvol06quizdebattle	Nice Price Series Vol. 06 - Quiz de Battle (Japan)
namenicepriceseriesvol07worldtournamentbowling	Nice Price Series Vol. 07 - World Tournament Bowling (Japan)
namenicepriceseriesvol08elementalpinball	Nice Price Series Vol. 08 - Elemental Pinball (Japan)
namenicepriceseriesvol09paradisecasino	Nice Price Series Vol. 09 - Paradise Casino (Japan)
namenicepriceseriesvol10igooutou	Nice Price Series Vol. 10 - Igo o Utou! (Japan)
namenicepriceseriesvol11nikakudorideluxe	Nice Price Series Vol. 11 - Nikakudori Deluxe (Japan)
namenichibutsuarcadeclassics	Nichibutsu Arcade Classics (Japan)
namenichibutsumahjongjoshikoumeijinsen	Nichibutsu Mahjong - Joshikou Meijinsen (Japan)
namenickelodeonlesrazmoket100angelica	Nickelodeon Les Razmoket - 100% Angelica (France)
namenickelodeonlesrazmoketalarecherchedereptar	Nickelodeon Les Razmoket - A la Recherche de Reptar (France)
namenickelodeonlesrazmoketaparislefilm	Nickelodeon Les Razmoket a Paris - Le Film (France)
namenickelodeonlesrazmoketfontleurcinema	Nickelodeon Les Razmoket - Font leur Cinema (France)
namenickelodeonrocketpowersauvetageextreme	Nickelodeon Rocket Power - Sauvetage Extreme (France)
namenickelodeonrocketpowerteamrocketrescue	Nickelodeon Rocket Power - Team Rocket Rescue (Europe)
namenickelodeonrugratsallaricercadireptar	Nickelodeon Rugrats - Alla Ricerca di Reptar (Italy)
namenickelodeonrugratsaufdersuchenachreptar	Nickelodeon Rugrats - Auf der Suche nach Reptar (Germany)
namenickelodeonrugratsdespeurtochtnaarreptar	Nickelodeon Rugrats - De Speurtocht naar Reptar (Netherlands)
namenickelodeonrugratsenparislapelicula	Nickelodeon Rugrats en Paris - La pelicula (Spain)
namenickelodeonrugratsexcursionalestudio	Nickelodeon Rugrats - Excursion al estudio (Spain)
namenickelodeonrugratsinparisthemovie	Nickelodeon Rugrats in Paris - The Movie (Europe)
namenickelodeonrugratslabusquedadereptar	Nickelodeon Rugrats - La Busqueda de Reptar (Spain)
namenickelodeonrugratssearchforreptar	Nickelodeon Rugrats - Search for Reptar (Europe)
namenickelodeonrugratsstudiotour	Nickelodeon Rugrats - Studio Tour (Europe)
namenickelodeonrugratstotallyangelica	Nickelodeon Rugrats - Totally Angelica (Europe)
namenickelodeonspongebobsquarepantssupersponge	Nickelodeon SpongeBob SquarePants - SuperSponge (Europe)
namenickjrdoratheexplorerbarnyardbuddies	Nick Jr. Dora the Explorer - Barnyard Buddies (Europe)
namenicktoonsracing	Nicktoons Racing (Europe) (En,Fr,De,Es,It,Pt)
namenightheadthelabyrinth	Night Head - The Labyrinth (Japan)
namenightmarecreatures	Nightmare Creatures (Europe)
namenightmarecreaturesii	Nightmare Creatures II (Europe) (En,Fr,De)
namenightmareprojectyakata	Nightmare Project - Yakata (Japan) (Disc 1)
namenightraid	Night Raid (Japan)
namenightruthexplanationoftheparanormalyaminotobira	Nightruth - Explanation of the Paranormal - 'Yami no Tobira' (Japan)
namenightstriker	Night Striker (Japan)
namenihonprogolfkyoukaikanshuudoubleeagle	Nihon Pro Golf Kyoukai Kanshuu - Double Eagle (Japan)
namenihonpromahjongrenmeikounindoujouyaburi	Nihon Pro Mahjong Renmei Kounin - Doujou Yaburi (Japan)
namenihonpromahjongrenmeikounindoujouyaburi2	Nihon Pro Mahjong Renmei Kounin - Doujou Yaburi 2 (Japan)
namenihonpromahjongrenmeikouninhonkakupromahjongshintetsuman	Nihon Pro Mahjong Renmei Kounin - Honkaku Pro Mahjong - Shin Tetsuman (Japan)
namenihonpromahjongrenmeikounintehodokimahjongnyuumonhen	Nihon Pro Mahjong Renmei Kounin - Tehodoki Mahjong Nyuumon-hen (Japan)
namenihonsumoukyoukaikouninnihonoozumou	Nihon Sumou Kyoukai Kounin - Nihon Oozumou (Japan)
namenijiirododgeballotometachinoseishun	Nijiiro Dodgeball - Otometachi no Seishun (Japan)
namenijiirotwinklegurugurudaisakusen	Nijiiro Twinkle - Guru Guru Daisakusen (Japan)
nameningyonorakuin	Ningyo no Rakuin (Japan)
nameninjajajamarukunonigirininpouchou	Ninja Jajamaru-kun - Onigiri Ninpouchou (Japan)
nameninjalombredestenebres	Ninja - L'Ombre des Tenebres (France)
nameninjashadowofdarkness	Ninja - Shadow of Darkness (Europe)
nameninkuu	Ninkuu (Japan)
nameninpuusentaihurricanger	Ninpuu Sentai Hurricanger (Japan)
nameninpuusentaihurricangerkamenriderryuuki	Ninpuu Sentai Hurricanger & Kamen Rider Ryuuki (Japan) (2-dai Hero Special Disc Taikenban)
